Produto;Valor 2025 (US$ Mi);MD 2025;Valor 2024 (US$ Mi);MD 2024;Var. % (MD);Part. % 2025;Part. % 2024
A - Agropecuária;4.058,02;270,53;3.979,32;189,49;42,76;18,78;15,99
Soja;1.081,34;72,08;861,49;41,02;75,72;5,00;3,46
Café não torrado;1.066,20;71,08;1.004,09;47,81;48,66;4,93;4,03
Milho não moído;968,10;64,54;913,30;43,49;48,39;4,48;3,67
Algodão em bruto;496,41;33,09;619,54;29,50;12,17;2,29;2,49
Animais vivos;110,27;7,35;124,06;5,90;24,43;0,51;0,49
Demais produtos não listados;335,68;22,37;456,81;21,75;2,87;1,55;1,83
