Produto;Valor 2025 (US$ Mi);MD 2025;Valor 2024 (US$ Mi);MD 2024;Var. % (MD);Part. % 2025;Part. % 2024
B - Indústria Extrativa;5.511,95;367,46;5.072,33;241,53;52,13;25,51;20,38
Óleos brutos de petróleo ou de minerais betuminosos;2.833,14;188,87;2.227,19;106,05;78,08;13,11;8,95
Minério de ferro e seus concentrados;1.792,42;119,49;2.187,53;104,16;14,71;8,29;8,79
Minérios de cobre e seus concentrados;738,95;49,26;438,99;20,90;135,65;3,42;1,76
Minérios de níquel e seus concentrados;47,65;3,17;38,17;1,81;74,75;0,22;0,15
Outros minerais em bruto;36,48;2,43;84,91;4,04;-39,85;0,16;0,34
Demais produtos não listados;63,30;4,22;95,50;4,54;-7,20;0,29;0,38
